,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.4001318344439477,9.0
1,SNX-USD,EOS-USD,2.378748003001393,9.0
2,SNX-USD,SUSHI-USD,2.3669520316790233,5.0
3,SNX-USD,CRV-USD,2.614840931778029,5.0
4,SNX-USD,DOGE-USD,30.170786380711547,13.0
5,SNX-USD,AAVE-USD,0.034088449991240465,5.0
6,SNX-USD,MATIC-USD,2.4574295115869527,4.0
7,XTZ-USD,ETC-USD,0.05073939616550725,17.0
8,XTZ-USD,ZEC-USD,0.027090945193297227,5.0
9,XTZ-USD,MKR-USD,0.0014134264138241444,7.0
10,XTZ-USD,CELO-USD,1.7110588986959614,7.0
11,XTZ-USD,ENJ-USD,2.6395179078944135,4.0
12,XTZ-USD,RUNE-USD,0.7550670070763079,6.0
13,XTZ-USD,FIL-USD,0.19141708618332673,19.0
14,XTZ-USD,ZRX-USD,4.019105742676496,9.0
15,XTZ-USD,YFI-USD,0.00012582321823628753,7.0
16,XTZ-USD,COMP-USD,0.024858396271836513,9.0
17,XTZ-USD,EOS-USD,0.9907263954554627,9.0
18,XTZ-USD,ALGO-USD,5.546021126111726,6.0
19,XTZ-USD,SUSHI-USD,0.9854607331101062,11.0
20,XTZ-USD,BTC-USD,3.411483164865775e-05,6.0
21,XTZ-USD,AAVE-USD,0.014196517195605616,6.0
22,XTZ-USD,MATIC-USD,1.0230292268261485,7.0
23,XTZ-USD,AVAX-USD,0.05898310920790449,6.0
24,ICP-USD,NEAR-USD,3.1694523207451137,10.0
25,ICP-USD,ADA-USD,14.801628736637012,24.0
26,ICP-USD,1INCH-USD,12.738615402459654,6.0
27,ETC-USD,ENJ-USD,51.985162073719756,16.0
28,ETC-USD,RUNE-USD,14.874148340600373,18.0
29,ETC-USD,XLM-USD,206.7040575815294,5.0
30,ETC-USD,ALGO-USD,109.2757883639859,6.0
31,ETC-USD,DOGE-USD,247.651423127249,6.0
32,ETC-USD,AVAX-USD,1.1617234888403623,19.0
33,ZEC-USD,CELO-USD,63.158829051110004,4.0
34,ZEC-USD,ENJ-USD,97.41716947378627,5.0
35,ZEC-USD,RUNE-USD,27.869403639798154,8.0
36,ZEC-USD,ZRX-USD,148.3556771292195,5.0
37,ZEC-USD,COMP-USD,0.9175869527259239,9.0
38,ZEC-USD,EOS-USD,36.56413847704618,10.0
39,ZEC-USD,ALGO-USD,204.70066073752793,6.0
40,ZEC-USD,DOGE-USD,463.93580277109976,4.0
41,LINK-USD,XLM-USD,74.55123572877406,6.0
42,LINK-USD,ALGO-USD,39.416274951183425,4.0
43,LINK-USD,SUSHI-USD,7.001461782986376,19.0
44,LINK-USD,ADA-USD,17.942574937531987,4.0
45,LINK-USD,BTC-USD,0.0002424948525259241,3.0
46,LINK-USD,MATIC-USD,7.268867808681905,13.0
47,LINK-USD,AVAX-USD,0.4191138576389622,7.0
48,BCH-USD,BTC-USD,0.004157970700246075,7.0
49,BCH-USD,DOT-USD,20.844690259447734,10.0
50,BCH-USD,CRV-USD,132.5942543357436,16.0
51,CELO-USD,ENJ-USD,1.5423863011942445,5.0
52,CELO-USD,RUNE-USD,0.4412431915359205,8.0
53,CELO-USD,ZRX-USD,2.3488220816767185,6.0
54,CELO-USD,NEAR-USD,0.3157595150493531,7.0
55,CELO-USD,ALGO-USD,3.240974476340439,5.0
56,CELO-USD,DOGE-USD,7.345188636440622,4.0
57,ENJ-USD,RUNE-USD,0.2860290699151132,3.0
58,ENJ-USD,FIL-USD,0.0725142630370451,13.0
59,ENJ-USD,COMP-USD,0.009415748454887303,7.0
60,ENJ-USD,XLM-USD,3.9715503772235885,22.0
61,ENJ-USD,EOS-USD,0.37525281377277925,6.0
